id_EXIST,lang,split,annotator_index,annotator_gender,annotator_age,task1_label,task2_label,task3_labels
100005,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100005,es,TRAIN_ES,2,F,46+,YES,JUDGEMENTAL,"['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION']"
100005,es,TRAIN_ES,3,M,46+,NO,-,['-']
100005,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,"['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE']"
100005,es,TRAIN_ES,5,M,18-22,YES,DIRECT,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100006,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100006,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100006,es,TRAIN_ES,2,F,46+,NO,-,['-']
100006,es,TRAIN_ES,3,M,46+,NO,-,['-']
100006,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100006,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100007,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100007,es,TRAIN_ES,1,F,23-45,YES,UNKNOWN,['UNKNOWN']
100007,es,TRAIN_ES,2,F,46+,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100007,es,TRAIN_ES,3,M,46+,NO,-,['-']
100007,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100007,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100008,es,TRAIN_ES,0,F,18-22,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100008,es,TRAIN_ES,1,F,23-45,YES,DIRECT,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100008,es,TRAIN_ES,2,F,46+,YES,DIRECT,"['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100008,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,['IDEOLOGICAL-INEQUALITY']
100008,es,TRAIN_ES,4,M,23-45,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100008,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100009,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100009,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100009,es,TRAIN_ES,2,F,46+,NO,-,['-']
100009,es,TRAIN_ES,3,M,46+,NO,-,['-']
100009,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100009,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100010,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100010,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100010,es,TRAIN_ES,2,F,46+,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100010,es,TRAIN_ES,3,M,46+,NO,-,['-']
100010,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100010,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100011,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100011,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100011,es,TRAIN_ES,2,F,46+,NO,-,['-']
100011,es,TRAIN_ES,3,M,46+,NO,-,['-']
100011,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100011,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100012,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100012,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100012,es,TRAIN_ES,2,F,46+,NO,-,['-']
100012,es,TRAIN_ES,3,M,46+,NO,-,['-']
100012,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100012,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100013,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100013,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100013,es,TRAIN_ES,2,F,46+,NO,-,['-']
100013,es,TRAIN_ES,3,M,46+,NO,-,['-']
100013,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100013,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100014,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100014,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100014,es,TRAIN_ES,2,F,46+,NO,-,['-']
100014,es,TRAIN_ES,3,M,46+,NO,-,['-']
100014,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100014,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100015,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100015,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100015,es,TRAIN_ES,2,F,46+,YES,REPORTED,['SEXUAL-VIOLENCE']
100015,es,TRAIN_ES,3,M,46+,NO,-,['-']
100015,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100015,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100016,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100016,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100016,es,TRAIN_ES,2,F,46+,YES,REPORTED,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100016,es,TRAIN_ES,3,M,46+,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100016,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100016,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100017,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100017,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100017,es,TRAIN_ES,2,F,46+,NO,-,['-']
100017,es,TRAIN_ES,3,M,46+,NO,-,['-']
100017,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100017,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['OBJECTIFICATION']
100018,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100018,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100018,es,TRAIN_ES,2,F,46+,NO,-,['-']
100018,es,TRAIN_ES,3,M,46+,NO,-,['-']
100018,es,TRAIN_ES,4,M,23-45,YES,DIRECT,"['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100018,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100019,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100019,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100019,es,TRAIN_ES,2,F,46+,NO,-,['-']
100019,es,TRAIN_ES,3,M,46+,NO,-,['-']
100019,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100019,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100020,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100020,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100020,es,TRAIN_ES,2,F,46+,NO,-,['-']
100020,es,TRAIN_ES,3,M,46+,NO,-,['-']
100020,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100020,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100021,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100021,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100021,es,TRAIN_ES,2,F,46+,NO,-,['-']
100021,es,TRAIN_ES,3,M,46+,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100021,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100021,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100022,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100022,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100022,es,TRAIN_ES,2,F,46+,NO,-,['-']
100022,es,TRAIN_ES,3,M,46+,NO,-,['-']
100022,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100022,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100023,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100023,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100023,es,TRAIN_ES,2,F,46+,NO,-,['-']
100023,es,TRAIN_ES,3,M,46+,NO,-,['-']
100023,es,TRAIN_ES,4,M,23-45,YES,REPORTED,['OBJECTIFICATION']
100023,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100024,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100024,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100024,es,TRAIN_ES,2,F,46+,NO,-,['-']
100024,es,TRAIN_ES,3,M,46+,NO,-,['-']
100024,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100024,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100025,es,TRAIN_ES,0,F,18-22,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100025,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100025,es,TRAIN_ES,2,F,46+,NO,-,['-']
100025,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,"['SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100025,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100025,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100026,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100026,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100026,es,TRAIN_ES,2,F,46+,YES,REPORTED,['OBJECTIFICATION']
100026,es,TRAIN_ES,3,M,46+,YES,REPORTED,"['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100026,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100026,es,TRAIN_ES,5,M,18-22,YES,JUDGEMENTAL,"['STEREOTYPING-DOMINANCE', 'SEXUAL-VIOLENCE']"
100027,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100027,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100027,es,TRAIN_ES,2,F,46+,YES,DIRECT,['SEXUAL-VIOLENCE']
100027,es,TRAIN_ES,3,M,46+,NO,-,['-']
100027,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100027,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100028,es,TRAIN_ES,0,F,18-22,YES,JUDGEMENTAL,['STEREOTYPING-DOMINANCE']
100028,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100028,es,TRAIN_ES,2,F,46+,NO,-,['-']
100028,es,TRAIN_ES,3,M,46+,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100028,es,TRAIN_ES,4,M,23-45,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100028,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100029,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100029,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100029,es,TRAIN_ES,2,F,46+,NO,-,['-']
100029,es,TRAIN_ES,3,M,46+,NO,-,['-']
100029,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100029,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100030,es,TRAIN_ES,0,F,18-22,YES,REPORTED,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100030,es,TRAIN_ES,1,F,23-45,YES,REPORTED,['SEXUAL-VIOLENCE']
100030,es,TRAIN_ES,2,F,46+,NO,-,['-']
100030,es,TRAIN_ES,3,M,46+,YES,REPORTED,['OBJECTIFICATION']
100030,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100030,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100031,es,TRAIN_ES,0,F,18-22,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100031,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100031,es,TRAIN_ES,2,F,46+,NO,-,['-']
100031,es,TRAIN_ES,3,M,46+,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100031,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100031,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100032,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100032,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100032,es,TRAIN_ES,2,F,46+,NO,-,['-']
100032,es,TRAIN_ES,3,M,46+,NO,-,['-']
100032,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100032,es,TRAIN_ES,5,M,18-22,YES,DIRECT,['STEREOTYPING-DOMINANCE']
100033,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100033,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100033,es,TRAIN_ES,2,F,46+,NO,-,['-']
100033,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,['OBJECTIFICATION']
100033,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,['IDEOLOGICAL-INEQUALITY']
100033,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100034,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100034,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100034,es,TRAIN_ES,2,F,46+,NO,-,['-']
100034,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100034,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100034,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100035,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100035,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100035,es,TRAIN_ES,2,F,46+,NO,-,['-']
100035,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,['OBJECTIFICATION']
100035,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100035,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100036,es,TRAIN_ES,0,F,18-22,YES,DIRECT,"['STEREOTYPING-DOMINANCE', 'SEXUAL-VIOLENCE']"
100036,es,TRAIN_ES,1,F,23-45,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100036,es,TRAIN_ES,2,F,46+,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100036,es,TRAIN_ES,3,M,46+,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100036,es,TRAIN_ES,4,M,23-45,YES,DIRECT,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100036,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100037,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100037,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100037,es,TRAIN_ES,2,F,46+,NO,-,['-']
100037,es,TRAIN_ES,3,M,46+,NO,-,['-']
100037,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100037,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100038,es,TRAIN_ES,0,F,18-22,YES,REPORTED,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100038,es,TRAIN_ES,1,F,23-45,YES,JUDGEMENTAL,['SEXUAL-VIOLENCE']
100038,es,TRAIN_ES,2,F,46+,YES,DIRECT,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100038,es,TRAIN_ES,3,M,46+,YES,REPORTED,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100038,es,TRAIN_ES,4,M,23-45,YES,DIRECT,"['STEREOTYPING-DOMINANCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100038,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100039,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100039,es,TRAIN_ES,1,F,23-45,YES,JUDGEMENTAL,['IDEOLOGICAL-INEQUALITY']
100039,es,TRAIN_ES,2,F,46+,NO,-,['-']
100039,es,TRAIN_ES,3,M,46+,YES,REPORTED,['SEXUAL-VIOLENCE']
100039,es,TRAIN_ES,4,M,23-45,YES,REPORTED,['SEXUAL-VIOLENCE']
100039,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100040,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100040,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100040,es,TRAIN_ES,2,F,46+,YES,JUDGEMENTAL,['OBJECTIFICATION']
100040,es,TRAIN_ES,3,M,46+,NO,-,['-']
100040,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100040,es,TRAIN_ES,5,M,18-22,YES,JUDGEMENTAL,['STEREOTYPING-DOMINANCE']
100041,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100041,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100041,es,TRAIN_ES,2,F,46+,NO,-,['-']
100041,es,TRAIN_ES,3,M,46+,NO,-,['-']
100041,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100041,es,TRAIN_ES,5,M,18-22,YES,REPORTED,"['SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100042,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100042,es,TRAIN_ES,1,F,23-45,YES,REPORTED,"['IDEOLOGICAL-INEQUALITY', 'SEXUAL-VIOLENCE']"
100042,es,TRAIN_ES,2,F,46+,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100042,es,TRAIN_ES,3,M,46+,NO,-,['-']
100042,es,TRAIN_ES,4,M,23-45,YES,REPORTED,['IDEOLOGICAL-INEQUALITY']
100042,es,TRAIN_ES,5,M,18-22,YES,JUDGEMENTAL,"['STEREOTYPING-DOMINANCE', 'SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100043,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100043,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100043,es,TRAIN_ES,2,F,46+,NO,-,['-']
100043,es,TRAIN_ES,3,M,46+,YES,REPORTED,['STEREOTYPING-DOMINANCE']
100043,es,TRAIN_ES,4,M,23-45,YES,DIRECT,"['IDEOLOGICAL-INEQUALITY', 'SEXUAL-VIOLENCE']"
100043,es,TRAIN_ES,5,M,18-22,YES,REPORTED,"['OBJECTIFICATION', 'SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100044,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100044,es,TRAIN_ES,1,F,23-45,YES,REPORTED,['SEXUAL-VIOLENCE']
100044,es,TRAIN_ES,2,F,46+,YES,REPORTED,['SEXUAL-VIOLENCE']
100044,es,TRAIN_ES,3,M,46+,YES,REPORTED,['SEXUAL-VIOLENCE']
100044,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100044,es,TRAIN_ES,5,M,18-22,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100045,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100045,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100045,es,TRAIN_ES,2,F,46+,YES,REPORTED,"['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION']"
100045,es,TRAIN_ES,3,M,46+,NO,-,['-']
100045,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,"['OBJECTIFICATION', 'SEXUAL-VIOLENCE']"
100045,es,TRAIN_ES,5,M,18-22,YES,JUDGEMENTAL,"['IDEOLOGICAL-INEQUALITY', 'SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']"
100046,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100046,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100046,es,TRAIN_ES,2,F,46+,NO,-,['-']
100046,es,TRAIN_ES,3,M,46+,NO,-,['-']
100046,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100046,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100047,es,TRAIN_ES,0,F,18-22,YES,DIRECT,['SEXUAL-VIOLENCE']
100047,es,TRAIN_ES,1,F,23-45,YES,REPORTED,['SEXUAL-VIOLENCE']
100047,es,TRAIN_ES,2,F,46+,NO,-,['-']
100047,es,TRAIN_ES,3,M,46+,NO,-,['-']
100047,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,['SEXUAL-VIOLENCE']
100047,es,TRAIN_ES,5,M,18-22,YES,REPORTED,['SEXUAL-VIOLENCE']
100048,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100048,es,TRAIN_ES,1,F,23-45,YES,REPORTED,['SEXUAL-VIOLENCE']
100048,es,TRAIN_ES,2,F,46+,YES,REPORTED,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100048,es,TRAIN_ES,3,M,46+,YES,REPORTED,['SEXUAL-VIOLENCE']
100048,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100048,es,TRAIN_ES,5,M,18-22,YES,REPORTED,"['OBJECTIFICATION', 'SEXUAL-VIOLENCE']"
100049,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100049,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100049,es,TRAIN_ES,2,F,46+,NO,-,['-']
100049,es,TRAIN_ES,3,M,46+,NO,-,['-']
100049,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100049,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100050,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100050,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100050,es,TRAIN_ES,2,F,46+,NO,-,['-']
100050,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,['SEXUAL-VIOLENCE']
100050,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100050,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100051,es,TRAIN_ES,0,F,18-22,YES,REPORTED,['SEXUAL-VIOLENCE']
100051,es,TRAIN_ES,1,F,23-45,YES,REPORTED,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION']"
100051,es,TRAIN_ES,2,F,46+,NO,-,['-']
100051,es,TRAIN_ES,3,M,46+,NO,-,['-']
100051,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100051,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100052,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100052,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100052,es,TRAIN_ES,2,F,46+,NO,-,['-']
100052,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,['SEXUAL-VIOLENCE']
100052,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100052,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100053,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100053,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100053,es,TRAIN_ES,2,F,46+,NO,-,['-']
100053,es,TRAIN_ES,3,M,46+,NO,-,['-']
100053,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100053,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100054,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100054,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100054,es,TRAIN_ES,2,F,46+,NO,-,['-']
100054,es,TRAIN_ES,3,M,46+,NO,-,['-']
100054,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100054,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100055,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100055,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100055,es,TRAIN_ES,2,F,46+,NO,-,['-']
100055,es,TRAIN_ES,3,M,46+,YES,DIRECT,['IDEOLOGICAL-INEQUALITY']
100055,es,TRAIN_ES,4,M,23-45,YES,DIRECT,"['IDEOLOGICAL-INEQUALITY', 'SEXUAL-VIOLENCE']"
100055,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100056,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100056,es,TRAIN_ES,1,F,23-45,YES,DIRECT,"['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE']"
100056,es,TRAIN_ES,2,F,46+,NO,-,['-']
100056,es,TRAIN_ES,3,M,46+,NO,-,['-']
100056,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100056,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100057,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100057,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100057,es,TRAIN_ES,2,F,46+,YES,REPORTED,['STEREOTYPING-DOMINANCE']
100057,es,TRAIN_ES,3,M,46+,YES,JUDGEMENTAL,['STEREOTYPING-DOMINANCE']
100057,es,TRAIN_ES,4,M,23-45,YES,JUDGEMENTAL,['MISOGYNY-NON-SEXUAL-VIOLENCE']
100057,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100058,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100058,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100058,es,TRAIN_ES,2,F,46+,NO,-,['-']
100058,es,TRAIN_ES,3,M,46+,NO,-,['-']
100058,es,TRAIN_ES,4,M,23-45,NO,-,['-']
100058,es,TRAIN_ES,5,M,18-22,NO,-,['-']
100059,es,TRAIN_ES,0,F,18-22,NO,-,['-']
100059,es,TRAIN_ES,1,F,23-45,NO,-,['-']
100059,es,TRAIN_ES,2,F,46+,NO,-,['-']
100059,es,TRAIN_ES,3,M,46+,YES,REPORTED,['SEXUAL-VIOLENCE']
100059,es,TRAIN_ES,4,M,23-45,YES,REPORTED,['SEXUAL-VIOLENCE']
100059,es,TRAIN_ES,5,M,18-22,NO,-,['-']
